0,1,2,3
688,0,2017-10-20,6011.450195
689,0,2017-10-21,6031.600098
690,0,2017-10-22,6008.419922
691,0,2017-10-23,5930.319824
692,0,2017-10-24,5526.640137
693,0,2017-10-25,5750.799805
694,0,2017-10-26,5904.830078
695,0,2017-10-27,5780.899902
696,0,2017-10-28,5753.089844
697,0,2017-10-29,6153.850098
698,0,2017-10-30,6130.529785
699,0,2017-10-31,6468.399902
700,0,2017-11-01,6767.310059
701,0,2017-11-02,7078.5
702,0,2017-11-03,7207.759766
703,0,2017-11-04,7379.950195
704,0,2017-11-05,7407.410156
705,0,2017-11-06,7022.759766
706,0,2017-11-07,7144.379883
707,0,2017-11-08,7459.689941
708,0,2017-11-09,7143.580078
709,0,2017-11-10,6618.140137
710,0,2017-11-11,6357.600098
711,0,2017-11-12,5950.069824
712,0,2017-11-13,6559.490234
713,0,2017-11-14,6635.75
714,0,2017-11-15,7315.540039
715,0,2017-11-16,7871.689941
716,0,2017-11-17,7708.990234
717,0,2017-11-18,7790.149902
718,0,2017-11-19,8036.490234
719,0,2017-11-20,8200.639648
720,0,2017-11-21,8071.259766
721,0,2017-11-22,8253.549805
722,0,2017-11-23,8038.77002
723,0,2017-11-24,8253.69043
724,0,2017-11-25,8790.919922
725,0,2017-11-26,9330.549805
726,0,2017-11-27,9818.349609
727,0,2017-11-28,10058.79981
728,0,2017-11-29,9888.610352
729,0,2017-11-30,10233.59961
730,0,2017-12-01,10975.59961
731,0,2017-12-02,11074.59961
732,0,2017-12-03,11323.2002
733,0,2017-12-04,11657.2002
734,0,2017-12-05,11916.7002
735,0,2017-12-06,14291.5
736,0,2017-12-07,17899.69922
737,0,2017-12-08,16569.40039
738,0,2017-12-09,15178.2002
739,0,2017-12-10,15455.40039
740,0,2017-12-11,16936.80078
741,0,2017-12-12,17415.40039
742,0,2017-12-13,16408.19922
743,0,2017-12-14,16564
744,0,2017-12-15,17706.90039
745,0,2017-12-16,19497.40039
746,0,2017-12-17,19140.80078
747,0,2017-12-18,19114.19922
748,0,2017-12-19,17776.69922
749,0,2017-12-20,16624.59961
750,0,2017-12-21,15802.90039
751,0,2017-12-22,13831.79981
752,0,2017-12-23,14699.2002
753,0,2017-12-24,13925.79981
754,0,2017-12-25,14026.59961
755,0,2017-12-26,16099.79981
756,0,2017-12-27,15838.5
757,0,2017-12-28,14606.5
758,0,2017-12-29,14656.2002
759,0,2017-12-30,12952.2002
760,0,2017-12-31,14156.40039
761,0,2018-01-01,13657.2002
762,0,2018-01-02,14982.09961
763,0,2018-01-03,15201
764,0,2018-01-04,15599.2002
765,0,2018-01-05,17429.5
766,0,2018-01-06,17527
767,0,2018-01-07,16477.59961
768,0,2018-01-08,15170.09961
769,0,2018-01-09,14595.40039
770,0,2018-01-10,14973.29981
771,0,2018-01-11,13405.79981
772,0,2018-01-12,13980.59961
773,0,2018-01-13,14360.2002
774,0,2018-01-14,13772
775,0,2018-01-15,13819.79981
776,0,2018-01-16,11490.5
777,0,2018-01-17,11188.59961
778,0,2018-01-18,11474.90039
779,0,2018-01-19,11607.40039
780,0,2018-01-20,12899.2002
781,0,2018-01-21,11600.09961
782,0,2018-01-22,10931.40039
783,0,2018-01-23,10868.40039
784,0,2018-01-24,11359.40039
785,0,2018-01-25,11259.40039
786,0,2018-01-26,11171.40039
787,0,2018-01-27,11440.7002
788,0,2018-01-28,11786.29981
789,0,2018-01-29,11296.40039
790,0,2018-01-30,10106.29981
791,0,2018-01-31,10221.09961
792,0,2018-02-01,9170.540039
793,0,2018-02-02,8830.75
794,0,2018-02-03,9174.910156
795,0,2018-02-04,8277.009766
796,0,2018-02-05,6955.27002
797,0,2018-02-06,7754
798,0,2018-02-07,7621.299805
799,0,2018-02-08,8265.589844
800,0,2018-02-09,8736.980469
801,0,2018-02-10,8621.900391
802,0,2018-02-11,8129.970215
803,0,2018-02-12,8926.570313
804,0,2018-02-13,8598.30957
805,0,2018-02-14,9494.629883
806,0,2018-02-15,10166.40039
807,0,2018-02-16,10233.90039
808,0,2018-02-17,11112.7002
809,0,2018-02-18,10551.79981
810,0,2018-02-19,11225.29981
811,0,2018-02-20,11403.7002
812,0,2018-02-21,10690.40039
813,0,2018-02-22,10005
814,0,2018-02-23,10301.09961
815,0,2018-02-24,9813.070313
816,0,2018-02-25,9664.730469
817,0,2018-02-26,10366.7002
818,0,2018-02-27,10725.59961
819,0,2018-02-28,10397.90039
820,0,2018-03-01,10951
821,0,2018-03-02,11086.40039
822,0,2018-03-03,11489.7002
823,0,2018-03-04,11512.59961
824,0,2018-03-05,11573.29981
825,0,2018-03-06,10779.90039
826,0,2018-03-07,9965.570313
827,0,2018-03-08,9395.009766
828,0,2018-03-09,9337.549805
829,0,2018-03-10,8866
830,0,2018-03-11,9578.629883
831,0,2018-03-12,9205.120117
832,0,2018-03-13,9194.849609
833,0,2018-03-14,8269.80957
834,0,2018-03-15,8300.860352
835,0,2018-03-16,8338.349609
836,0,2018-03-17,7916.879883
837,0,2018-03-18,8223.679688
838,0,2018-03-19,8630.650391
